insn,mode,CONDITIONS,Ptype,Etype,SM,0,1,2,3,in1,in2,in3,out,CR in,CR out,out2
stdx,LDST_IDX,,2P,EXTRA2,1,s:RS,s:RA,s:RB,0,RA_OR_ZERO,RB,RS,0,0,0,0
stwx,LDST_IDX,,2P,EXTRA2,1,s:RS,s:RA,s:RB,0,RA_OR_ZERO,RB,RS,0,0,0,0
stbx,LDST_IDX,,2P,EXTRA2,1,s:RS,s:RA,s:RB,0,RA_OR_ZERO,RB,RS,0,0,0,0
sthx,LDST_IDX,,2P,EXTRA2,1,s:RS,s:RA,s:RB,0,RA_OR_ZERO,RB,RS,0,0,0,0
stdbrx,LDST_IDX,,2P,EXTRA2,1,s:RS,s:RA,s:RB,0,RA_OR_ZERO,RB,RS,0,0,0,0
stwbrx,LDST_IDX,,2P,EXTRA2,1,s:RS,s:RA,s:RB,0,RA_OR_ZERO,RB,RS,0,0,0,0
stfsx,LDST_IDX,,2P,EXTRA2,1,s:FRS,s:RA,s:RB,0,RA,RB,FRS,0,0,0,0
stfdx,LDST_IDX,,2P,EXTRA2,1,s:FRS,s:RA,s:RB,0,RA_OR_ZERO,RB,FRS,0,0,0,0
stwcix,LDST_IDX,,2P,EXTRA2,1,s:RS,s:RA,s:RB,0,RA_OR_ZERO,RB,RS,0,0,0,0
sthbrx,LDST_IDX,,2P,EXTRA2,1,s:RS,s:RA,s:RB,0,RA_OR_ZERO,RB,RS,0,0,0,0
sthcix,LDST_IDX,,2P,EXTRA2,1,s:RS,s:RA,s:RB,0,RA_OR_ZERO,RB,RS,0,0,0,0
stbcix,LDST_IDX,,2P,EXTRA2,1,s:RS,s:RA,s:RB,0,RA_OR_ZERO,RB,RS,0,0,0,0
stfiwx,LDST_IDX,,2P,EXTRA2,1,s:FRS,s:RA,s:RB,0,RA_OR_ZERO,RB,FRS,0,0,0,0
stdcix,LDST_IDX,,2P,EXTRA2,1,s:RS,s:RA,s:RB,0,RA_OR_ZERO,RB,RS,0,0,0,0
stwcx,LDST_IDX,,2P,EXTRA2,1,s:RS;d:CR0,s:RA,s:RB,0,RA_OR_ZERO,RB,RS,0,0,CR0,0
stdcx,LDST_IDX,,2P,EXTRA2,1,s:RS;d:CR0,s:RA,s:RB,0,RA_OR_ZERO,RB,RS,0,0,CR0,0
stbcx,LDST_IDX,,2P,EXTRA2,1,s:RS;d:CR0,s:RA,s:RB,0,RA_OR_ZERO,RB,RS,0,0,CR0,0
sthcx,LDST_IDX,,2P,EXTRA2,1,s:RS;d:CR0,s:RA,s:RB,0,RA_OR_ZERO,RB,RS,0,0,CR0,0
