path,opcode,bitsel,suffix,mode,priority
minor_19.csv,19,21:30,NONE,pattern,normal
minor_30.csv,30,27:30,NONE,pattern,normal
minor_31.csv,31,21:30,0b101,integer,normal
minor_58.csv,58,30:31,NONE,integer,normal
minor_62.csv,62,30:31,NONE,integer,normal
minor_22.csv,22,21:31,NONE,pattern,normal
minor_5.csv,5,21:31,NONE,pattern,normal
minor_4.csv,4,26:31,NONE,integer,normal
minor_63.csv,63,21:30,NONE,pattern,normal
minor_59.csv,59,21:30,NONE,pattern,normal
major.csv,NONE,0:5,NONE,integer,normal
extra.csv,NONE,0:31,NONE,pattern,high
